"EMPLOYEE_ID","GENDER","EMAIL_ADDRESS","COUNTRY","PHONE_NUMBER","SALARY_AMOUNT","FIRST_NAME","MIDDLE_NAME","LAST_NAME","EMPLOYEE_PIC_URL","LATITUDE","LONGITUDE","BUILDING","CITY","CURRENCY_CODE","POSTAL_CODE","STREET","TITLE_URL"
"400000000","Female","sally.spring@itelo.info","USA","+1 224 374524","55549","Sally","","Spring","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_8_SpringS.jpg","42.4787731","-88.1090667","54","Antioch, Illinois","USD","60002","Tiffany Road","http://maps.google.com/maps?q=Tiffany Road%20Antioch, Illinois%20US%2060002"
"400000001","Female","susan.summer@itelo.info","USA","+1 610 6615530","76239","Susan","","Summer","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_7_SummerS.jpg","37.7235468","-122.4063031","6","San Francisco","USD","94101","Summerset Street","http://maps.google.com/maps?q=Summerset Street%20San Francisco%20US%2094101"
"400000002","Male","franco.fall@itelo.info","USA","+1 213 6615538","85962","Franco","","Fall","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_2_FallF.jpg","37.7064938","-122.4488648","35","San Francisco","USD","94101","Risel Avenue","http://maps.google.com/maps?q=Risel Avenue%20San Francisco%20US%2094101"
"400000003","Male","walter.winter@itelo.info","USA","+1 415 6991599","68597","Walter","","Winter","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_1_WinterW.jpg","37.7094371","-122.4352474","8","San Francisco","USD","94101","Winding Way","http://maps.google.com/maps?q=Winding Way%20San Francisco%20US%2094101"
"400000004","Female","maria.hicks@itelo.info","USA","+1 212 6539539","49876","Maria","","Hicks","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_10_HicksM.jpg","40.7424903","-74.0086961","17","New York","USD","10011","11th Avenue","http://maps.google.com/maps?q=11th Avenue%20New York%20US%2010011"
"400000005","Male","john.dash@itelo.info","USA","+1 213 9026319","72691","John","","Dash","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_11_DashJ.jpg","37.733221","-122.4695642","10","San Francisco","USD","94101","San Fernando Way","http://maps.google.com/maps?q=San Fernando Way%20San Francisco%20US%2094101"
"400000006","Female","viola.gains@itelo.info","USA","+1 224 3745225","110962","Viola","Sarah","Gains","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_2_GainsV.jpg","42.4782055","-88.1312087","32","Antioch, Illinois","USD","60002","7th Avenue","http://maps.google.com/maps?q=7th Avenue%20Antioch, Illinois%20US%2060002"
"400000007","Male","randy.gordon@itelo.info","USA","+1 212 5961108","81463","Randy","","Gordon","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_10_GordonR.jpg","40.733398","-73.87507","19","New York","USD","10011","57th Avenue","http://maps.google.com/maps?q=57th Avenue%20New York%20US%2010011"
"400000008","Male","paul.burke@itelo.info","USA","+1 224 374523","100491","Paul","","Burke","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_4_BurkeP.jpg","42.4772418","-88.0956396","59","Antioch, Illinois","USD","60002","Fillmore Street","http://maps.google.com/maps?q=Fillmore Street%20Antioch, Illinois%20US%2060002"
"400000009","Male","michael.miller@itelo.info","United Kingdom","+44 2089 177316","86574","Michael","","Miller","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_9_MillerM.jpg","51.4985256","-0.1390705","25","London","USD","EC1Y8SY","Castle Lane","http://maps.google.com/maps?q=Castle Lane%20London%20GB%20EC1Y8SY"
